order_id,payment_sequential,payment_type,payment_installments,payment_value
b81ef226f3fe1789b1e8b2acac839d17,1,credit_card,8,99.33
a9810da82917af2d9aefd1278f1dcfa0,1,credit_card,1,24.39
42fdf880ba16b47b59251dd489d4441a,1,credit_card,2,128.45
298fcdf1f73eb413e4d26d01b25bc1cd,1,credit_card,2,96.12
1f78449c87a54faf9e96e88ba1491fa9,1,credit_card,6,341.09
616105c9352a9668c38303ad44e056cd,1,credit_card,1,75.78
12e5cfe0e4716b59afb0e0f4a3bd6570,1,credit_card,10,157.45
61059985a6fc0ad64e95d9944caacdad,1,credit_card,1,132.04
79da3f5fe31ad1e454f06f95dc032ad5,1,credit_card,1,98.94
8ac09207f415d55acff302df7d6a895c,1,credit_card,4,244.15
b2349a3f20dfbeef62e7b31baa22f84b,1,credit_card,3,136.71
adfbf6c2a620196f9a3ec747491c72b7,1,credit_card,4,67.5
4d680edbaa7d3d9bed69532957368a03,1,credit_card,10,353.09
d0a945f85ba1074b60aac97ade7e240e,1,credit_card,2,541.0
c39414c195d0f94c9d9c35e7c6ed4f1a,1,credit_card,2,139.22
81cedc4d2132eb6f512354166e51b187,1,credit_card,1,30.28
23f10f509600c30cf2852f9dbdf28fc3,1,credit_card,1,103.49
f86f6472fa9f395d8d9a6751ca118afb,1,credit_card,1,64.03
1dcf0c8cd36ffaf57784fbdc90079310,1,credit_card,3,157.15
d3e774a185c0b1b2286ffd6c70abe2e6,1,credit_card,8,117.74
32b1d8f3789a57f1f752e20ac7404b4c,1,boleto,1,56.6
0e0441786430b7cfcd0d91f822ea4c99,1,credit_card,1,121.49
6ffb3f1686bceae3466facf7e02ce3fb,1,credit_card,1,32.0
c0db7d31ace61fc360a3eaa34dd3457c,1,credit_card,5,65.71
2e2c60b99754ae1e4d8b18846cfec9f2,1,credit_card,4,542.66
1ffb3c1929b16d9c1aec1958e11b3e9b,1,boleto,1,166.04
95442deb81a5d91c97c0df96b431634a,1,boleto,1,368.98
10af96a0689260134307879127ac1952,1,credit_card,2,113.2
85eef2d342b0de363c45c1bc324729c5,1,credit_card,3,99.43
aa964845f1de8125410aea8b73e9e1ec,1,credit_card,2,27.35
ad4098a257676ea4d394fb3bbbf36ca3,1,credit_card,2,68.49
3e0c3cab458e8b3cc8d1d38ecb7e7775,1,credit_card,2,105.53
fc662bafa52d2ef16078f6f6141009d6,1,boleto,1,90.05
4217849b1ff18a9270fe048eabc4dc45,1,credit_card,1,67.88
795c16acb4e3c30dfa5b6827727ef488,1,credit_card,2,37.58
60e43c5f5ba559d9dd19357ed72cb2f2,1,credit_card,2,78.3
110d9355d6338eab0a65a0cacdde5434,1,credit_card,5,566.4
4b2d035932915aa9c2a0d4d84cd6d3b0,1,credit_card,3,187.51
fee72a68ce935ebf2939fe72f27d3d9b,1,credit_card,1,48.68
4d3bfdf4c7d6578ea445d588371ae10e,1,credit_card,1,77.29
8e47a04b25d7a7075064e8e0bd2e0318,1,credit_card,1,37.61
723e462ce1ee50e024887c0b403130f3,1,credit_card,1,13.8
fa2ea4b6e84c1c0fc4f3a6d468c55183,1,debit_card,1,227.12
fb1a2a1296f822405a946cbdfc0d3ed6,1,credit_card,3,34.78
de4090fd9b7900d46323b0c7c36b7128,1,credit_card,2,121.45
d60a89ab9bc1e68834465ae630c3343e,1,credit_card,2,115.59
d46f45b0d795bcf47a19d301710e63fe,1,credit_card,1,27.27
96de2b7f7f3c401fbee3eef068376da6,1,boleto,1,32.15
21b8b46679ea6482cbf911d960490048,2,voucher,1,43.12
e6670c9089973cc68e5b90b7d1f4fec4,1,credit_card,1,88.49
46ee6eaca194413758f200a6974b7e4d,1,credit_card,3,71.99
f49cd89d6dad6dd5759ecf15dfe4bb19,1,boleto,1,47.0
cf61ad2218e5c14397e7c0ba7a6a50f9,1,debit_card,1,35.14
243312dbb316253ab77bb0140d94803c,1,credit_card,10,285.79
c51dcdd98e1c413f3d394ffcb4656ed1,1,credit_card,4,110.11
ea9184ad433a404df1d72fa0a8764232,4,voucher,1,22.49
cdaa116d3c2521b4b6976043508d0943,1,credit_card,2,61.77
a5f860aaf6a3c35399495aefe92d363f,1,credit_card,1,75.75
49d3db2a02106c24d6ef800bd8ad5546,1,boleto,1,90.17
859980aae511377b7230f72d90bfc580,1,credit_card,10,106.77
e2cd740333fe4585ead5c50c61edb6a5,1,voucher,1,163.25
99bc267f49d76932cd195bfb2a94dd03,1,credit_card,1,163.08
0c99132c4ff916416ba8f74c378f1cbc,1,credit_card,4,135.93
66a4fa2d40fed98c34ced62496fdb1e7,1,credit_card,1,267.05
82ffe097d8ddbf319a523b9bbe7725d5,2,voucher,1,30.0
f75666bf6c9e09f6b3f4bcd797b57a3c,1,credit_card,4,97.28
5e5d1342989d05440629e2162fa52d07,1,credit_card,1,48.61
14d9794bbb53614d12cc2df6a045f82b,1,boleto,1,116.7
31f8013402a0749b3ab433b1aee11754,1,boleto,1,42.19
96cc8c42014ddb42a775da9a45ae3f76,1,credit_card,2,203.3
87f003dca70d4d22518366caf041e845,1,credit_card,3,44.35
242e24b7eaa9f48cde9d679f8591124d,1,credit_card,4,236.66
18259631aab7299bf25f83f5eac4c8d1,1,credit_card,4,220.3
14c0c0bebe2cd50fb1dbdee84fbae03a,1,credit_card,1,180.55
53035288acc866ee15423b4293722b46,1,credit_card,1,375.74
aa600269bffea363cca75ad2d1908903,1,boleto,1,93.26
0a9716da94d89975e6637874280aadad,1,credit_card,10,165.96
65c863d90026e9dd4888e28d2135c983,2,voucher,1,50.0
62d9b911d7c56cf455f660eecb8ddd3a,1,credit_card,10,1002.73
279cc62fe9c5a9e6a7ad5a7536560944,1,boleto,1,116.56
e6ed38386107802a72ec8197195f79a7,1,credit_card,2,240.52
4a4ed9ed7922304a569ed850baba99c6,1,credit_card,3,33.13
1594012ccc1b0770373ce691d697e5ae,1,credit_card,8,362.17
bc3d816db1aa7215dbde5b1b00d3d32b,1,credit_card,2,46.85
67c8c2016ddabf0059783eb44e921f99,1,boleto,1,68.54
b545ba7b0bd67a3128185c7214704319,1,credit_card,8,340.08
591083bc42b589c7052118aa83118e76,5,voucher,1,20.0
79b63d1f9cf0257b33b04fbfb0847cba,2,voucher,1,76.9
7327c30a5230ce07bc2c7a695d553a00,1,credit_card,4,40.27
1e6d912e4c63965bb9eccf0cc765fc24,1,boleto,1,207.24
e1b6234c322ab01a32771bf57c597043,1,credit_card,8,156.09
66f249e4d7ab2f3872de7bd6d74719dd,1,credit_card,8,348.77
648b4f683ccf074ebe65a73c8096dd18,1,credit_card,4,139.87
afd0dbbab8e90d099aaccdd8ed7d5f26,1,credit_card,3,269.46
774359a2a8b6be829653bae9390a0dd0,1,credit_card,10,350.09
d087b8e096ca051f548e29b324272834,1,boleto,1,72.05
5262eaeb971616ffef822379ed91896f,1,credit_card,1,0.67
52636dd3c039f62169b0eb724af63047,1,credit_card,2,77.77
caca64f71d73695719939294fa88c791,1,credit_card,1,371.42
fa12564d7462c9a851c79c301bcb97de,1,credit_card,3,103.79
31be75ffd0c4b58ca777e72cd2352b14,1,boleto,1,95.99
6cdb86865449a92089579ea715e1c1d1,1,credit_card,1,52.57
50bf77081d0fdd2e57dcff0acf8fefeb,1,credit_card,2,145.58
37fc44460574b368fe7933c6ae98f224,1,credit_card,1,47.43
3fff175860497ca456d60c90b1f2b797,1,credit_card,2,168.57
ae1126b6891f58552443772c80b1f562,1,credit_card,1,133.81
068176c8a0550b07cddf7e05c8d55319,1,boleto,1,123.82
9488305b52042a978d3bf78cf94bcd54,1,credit_card,3,283.66
7a1ba14765ea354929894e667c06f386,1,credit_card,1,89.88
4b5648d8399ea47a4c323499045aaefc,1,boleto,1,32.38
52b5d339bbba7bd8f18ca836ab540227,1,credit_card,1,43.08
3a1a92434eae60a4f44ad7ebef65c3e7,1,credit_card,1,254.58
dc400373e624e9b0435847a79813c658,2,voucher,1,48.91
9f1cdc0e091b90e61836ddc009a60ef2,1,credit_card,4,48.22
d9952ada4955694cae66806b7d5ac6ca,1,credit_card,6,67.58
881206af1a6a9cd34119b99782759dd4,1,boleto,1,44.77
5f082a502d1fd6f19d32897c2c2cbcec,1,credit_card,10,645.8
76b8568803f110a59ece4167463a4a7e,1,debit_card,1,76.39
51e88bc351dd268bb9c9e78d263c4a06,1,credit_card,2,67.42
da46439d7d06cf02cb44d0908ecc3575,1,boleto,1,41.86
33ebbe6b176d53190194b5b05cf69330,1,boleto,1,69.9
32d8aa395f9c9f357e1e3f7b214b9082,1,credit_card,1,103.68
dcec2b3be8c3d53056fe63381b2a6cfe,1,credit_card,10,159.18
7cb79316d2abe37e16ec83a07afb2895,1,credit_card,1,13.55
cf8ace9395d2ee06b4b513df8ba682b3,1,credit_card,1,52.38
101fa9bbc869f267953a48b0f659dc62,1,credit_card,9,131.47
bedff73fa5a137527ba9314cac93b7b3,2,voucher,1,35.0
808c4b75909ba91f23c1ef928f396822,1,credit_card,3,143.65
c1310d06e793969c9dfc72a433db577f,1,credit_card,3,86.73
9144181fd06902570ce9c34860652f55,1,credit_card,5,118.35
d189b98b9c4f5325db664c5455fe927c,1,credit_card,1,341.58
ab85e3c92c828eb802fd91345e45d92e,1,credit_card,10,357.97
35bf7f86bc7add201e5b6573052157f0,1,credit_card,2,68.35
56ba89857b4e6eb192108f310a81163b,1,credit_card,13,197.23
0f67e615d797da223ac5601b9b08b180,1,credit_card,3,153.67
440a666da55232dbd02bb270c7ac7d8c,1,credit_card,3,46.43
6b58f3523e45f9838f702acbc21e2f51,1,credit_card,1,44.23
210a5f61a6a19892f81bb269863f4742,1,credit_card,1,67.5
f1b7c83171b22e2babd61eb8501d58d5,1,credit_card,2,44.27
73596e67516934a7fe64cc6ca6d75545,1,credit_card,3,62.11
e9da0d015d8dbc78a000c0b78cc87728,1,credit_card,2,25.23
aeb81ccabe4f164a26e763cd5b07fd99,1,boleto,1,70.89
